,year,url,type,list index out of range TIME,'Bidder',"Could not get first item for //table[@cellpadding=""3""] query of class XpathSelector INFO",local variable 'df' referenced before assignment,1 TIME,Connection Faild,"can only concatenate str (not ""float"") to str"
22,1998,https://www.muniauction.com/pma/results/Tennessee.GO.1998B.AON/best_bids.html,Bond,1.0,,,,,,
23,1998,https://www.muniauction.com/pma/results/Tennessee.GO.1998B.AON/best_bids.html,Bond,,1.0,,,,,
24,1998,https://www.muniauction.com/pma/results/PittsburghWaterAndSewer.SeriesC.MBM/best_bids.html,Bond,1.0,,,,,,
25,1998,https://www.muniauction.com/pma/results/PittsburghWaterAndSewer.SeriesC.MBM/best_bids.html,Bond,,1.0,,,,,
26,1998,https://www.muniauction.com/pma/results/Pittsburgh.GO.98E.TAXABLE.MBM/best_bids.html,Bond,1.0,,,,,,
27,1998,https://www.muniauction.com/pma/results/Pittsburgh.GO.98E.TAXABLE.MBM/best_bids.html,Bond,,1.0,,,,,
28,1998,https://www.muniauction.com/pma/results/Pittsburgh.GO.98D.MBM/best_bids.html,Bond,1.0,,,,,,
29,1998,https://www.muniauction.com/pma/results/Pittsburgh.GO.98D.MBM/best_bids.html,Bond,,1.0,,,,,
30,1998,https://www.muniauction.com/pma/results/SarasotaMemorialHospital.98A.AON/best_bids.html,Bond,1.0,,,,,,
31,1998,https://www.muniauction.com/pma/results/SarasotaMemorialHospital.98A.AON/best_bids.html,Bond,,1.0,,,,,
32,1998,https://www.muniauction.com/pma/results/AlbanyAirport.98C.AON/best_bids.html,Bond,1.0,,,,,,
33,1998,https://www.muniauction.com/pma/results/AlbanyAirport.98C.AON/best_bids.html,Bond,,1.0,,,,,
34,1998,https://www.muniauction.com/pma/results/SanFranciscoRDA.98D.CIBS.AON/best_bids.html,Bond,1.0,,,,,,
35,1998,https://www.muniauction.com/pma/results/SanFranciscoRDA.98D.CIBS.AON/best_bids.html,Bond,,1.0,,,,,
36,1998,https://www.muniauction.com/pma/results/Minn-St.PaulMetroAirport.Series13.AON/best_bids.html,Bond,1.0,,,,,,
37,1998,https://www.muniauction.com/pma/results/Minn-St.PaulMetroAirport.Series13.AON/best_bids.html,Bond,,1.0,,,,,
38,1998,https://www.muniauction.com/pma/results/PittsburghWaterAndSewer.SeriesA.MBM/best_bids.html,Bond,1.0,,,,,,
39,1998,https://www.muniauction.com/pma/results/PittsburghWaterAndSewer.SeriesA.MBM/best_bids.html,Bond,,1.0,,,,,
40,1998,https://www.muniauction.com/pma/results/AlbanyAirport.98B.AON/best_bids.html,Bond,1.0,,,,,,
41,1998,https://www.muniauction.com/pma/results/AlbanyAirport.98B.AON/best_bids.html,Bond,,1.0,,,,,
42,1998,https://www.muniauction.com/pma/results/Ft.Wayne.SewageWorksJrRevBonds.98B.AON/best_bids.html,Bond,1.0,,,,,,
43,1998,https://www.muniauction.com/pma/results/Ft.Wayne.SewageWorksJrRevBonds.98B.AON/best_bids.html,Bond,,1.0,,,,,
44,1998,https://www.muniauction.com/pma/results/TennesseeStateSchoolBondAuthority.98SeriesA/best_bids.html,Bond,1.0,,,,,,
45,1998,https://www.muniauction.com/pma/results/TennesseeStateSchoolBondAuthority.98SeriesA/best_bids.html,Bond,,1.0,,,,,
46,1998,https://www.muniauction.com/pma/results/Portland.Sewer.1998A.AON/best_bids.html,Bond,1.0,,,,,,
47,1998,https://www.muniauction.com/pma/results/Portland.Sewer.1998A.AON/best_bids.html,Bond,,1.0,,,,,
48,1999,https://www.muniauction.com/pma/results/Fargo.ND.RfgImprvBonds.1999A.AON/bid_summary.html,Bond,,1.0,,,,,
49,1999,https://www.muniauction.com/pma/results/NewYorkCity.GOs.Fiscal1999I.AON/best_bids.html,Bond,1.0,,,,,,
50,1999,https://www.muniauction.com/pma/results/NewYorkCity.GOs.Fiscal1999I.AON/best_bids.html,Bond,,1.0,,,,,
51,1999,https://www.muniauction.com/pma/results/KingCounty.Series1999.AON/best_bids.html,Bond,1.0,,,,,,
52,1999,https://www.muniauction.com/pma/results/KingCounty.Series1999.AON/best_bids.html,Bond,,1.0,,,,,
53,1999,https://www.pfmauction.com/pma/results/NorthernYorkSD.Series1999.AON/best_bids.html,Bond,1.0,,,,,,
54,1999,https://www.pfmauction.com/pma/results/NorthernYorkSD.Series1999.AON/best_bids.html,Bond,,1.0,,,,,
55,1999,https://www.speerauction.com/pma/results/BataviaSchoolDistrict.Series1999.AON/bid_summary.html,Bond,,1.0,,,,,
56,1999,https://www.pfmauction.com/pma/results/Austin.TX.CivicCenter.99.AON/bid_summary.html,Bond,,1.0,,,,,
57,1999,https://www.muniauction.com/pma/results/WashingtonState.GOBonds.Series1999S3.AON/best_bids.html,Bond,1.0,,,,,,
58,1999,https://www.muniauction.com/pma/results/WashingtonState.GOBonds.Series1999S3.AON/best_bids.html,Bond,,1.0,,,,,
59,1999,https://www.speerauction.com/pma/results/DownersGroveParkDistrict.99A.AON/bid_summary.html,Bond,,1.0,,,,,
60,1999,https://www.pfmauction.com/pma/results/Austin.TX.CertificatesObligation.Series1999.AON/bid_summary.html,Bond,,1.0,,,,,
61,1999,https://www.pfmauction.com/pma/results/UnionvilleChaddsFordSD.PA.GOs.99.AON/bid_summary.html,Bond,,1.0,,,,,
62,1999,https://www.speerauction.com/pma/results/GlenviewParkDistrict.Series1999.AON/bid_summary.html,Bond,,1.0,,,,,
63,1999,https://www.muniauction.com/pma/results/Portland.GOs.Series1999A.AON/best_bids.html,Bond,1.0,,,,,,
64,1999,https://www.muniauction.com/pma/results/Portland.GOs.Series1999A.AON/best_bids.html,Bond,,1.0,,,,,
65,1999,https://www.speerauction.com/pma/results/CaryParkDistrict.99B.AON/bid_summary.html,Bond,,1.0,,,,,
66,1999,https://www.muniauction.com/pma/results/SanFrancisco.TaxAllocRevRefBonds.1999A.AON/best_bids.html,Bond,1.0,,,,,,
67,1999,https://www.muniauction.com/pma/results/SanFrancisco.TaxAllocRevRefBonds.1999A.AON/best_bids.html,Bond,,1.0,,,,,
68,1999,https://www.pfmauction.com/pma/results/MethactonSD.GOs.99.AON/bid_summary.html,Bond,,1.0,,,,,
69,1999,https://www.muniauction.com/pma/results/KingCounty.WA.SewerRevenue.99.2ndSeries.AON/bid_summary.html,Bond,,1.0,,,,,
70,1999,https://www.pfmauction.com/pma/results/WilliamsportASD.GOs.99.AON/bid_summary.html,Bond,,1.0,,,,,
71,1999,https://www.pfmauction.com/pma/results/CrawfordCounty.GOs.Series1999.AON/best_bids.html,Bond,1.0,,,,,,
72,1999,https://www.pfmauction.com/pma/results/CrawfordCounty.GOs.Series1999.AON/best_bids.html,Bond,,1.0,,,,,
73,1999,https://www.muniauction.com/pma/results/NYCTFA.1999C.Taxable.AON/best_bids.html,Bond,1.0,,,,,,
74,1999,https://www.muniauction.com/pma/results/NYCTFA.1999C.Taxable.AON/best_bids.html,Bond,,1.0,,,,,
75,1999,https://www.pfmauction.com/pma/results/LigonierValleySD.SeriesA1999.AON/best_bids.html,Bond,1.0,,,,,,
76,1999,https://www.pfmauction.com/pma/results/LigonierValleySD.SeriesA1999.AON/best_bids.html,Bond,,1.0,,,,,
77,1999,https://www.muniauction.com/pma/results/MuniAuction.SMA.121599/bid_summary.html,Bond,,,1.0,,,,
78,1999,https://www.muniauction.com/pma/results/MuniAuction.SMA.121599/bid_summary.html,Bond,,,,1.0,,,
79,1999,https://www.pfmauction.com/pma/results/NewHaven.CT.GOBANS.1999/bid_summary.html,Note,,,1.0,,,,
80,1999,https://www.pfmauction.com/pma/results/NewHaven.CT.GOBANS.1999/bid_summary.html,Note,,,,1.0,,,
81,1999,https://www.muniauction.com/pma/results/R.E.Badger.WaterFacilFinanAuth.WRBs.99.AON/bid_summary.html,Bond,,1.0,,,,,
82,1999,https://www.pfmauction.com/pma/results/Austin.TX.PubPropFinanceContractualObligations.Series1999.AON/bid_summary.html,Bond,,1.0,,,,,
83,1999,https://www.muniauction.com/pma/results/Denver.GOs.99B.AON/bid_summary.html,Bond,,1.0,,,,,
84,1999,https://www.muniauction.com/pma/results/TN.LocalDevpAuth.99A/bid_summary.html,Note,,,1.0,,,,
85,1999,https://www.muniauction.com/pma/results/TN.LocalDevpAuth.99A/bid_summary.html,Note,,,,1.0,,,
86,1999,https://www.pfmauction.com/pma/results/NorthamptonSD.GOs.Series1999.AON/bid_summary.html,Bond,,1.0,,,,,
87,1999,https://www.speerauction.com/pma/results/St.CharlesParkDistrict.Series1999.AON/bid_summary.html,Bond,,1.0,,,,,
88,1999,https://www.speerauction.com/pma/results/CaryParkDistrict.99A.AON/bid_summary.html,Bond,,1.0,,,,,
89,1999,https://www.muniauction.com/pma/results/Harvard.MA.BANs/bid_summary.html,Note,,,1.0,,,,
90,1999,https://www.muniauction.com/pma/results/Harvard.MA.BANs/bid_summary.html,Note,,,,1.0,,,
91,1999,https://www.muniauction.com/pma/results/EasternYorkSD.GOs.99.AON/bid_summary.html,Bond,,1.0,,,,,
92,1999,https://www.pfmauction.com/pma/results/AvonGroveSD.GOs.Series1999.AON/best_bids.html,Bond,1.0,,,,,,
93,1999,https://www.pfmauction.com/pma/results/AvonGroveSD.GOs.Series1999.AON/best_bids.html,Bond,,1.0,,,,,
94,1999,https://www.pfmauction.com/pma/results/PittsburghSD.GOs.Series1999.AON/bid_summary.html,Bond,,1.0,,,,,
95,1999,https://www.pfmauction.com/pma/results/Monroeville.GOs.1999.AON/best_bids.html,Bond,1.0,,,,,,
96,1999,https://www.pfmauction.com/pma/results/Monroeville.GOs.1999.AON/best_bids.html,Bond,,1.0,,,,,
97,1999,https://www.pfmauction.com/pma/results/UnivSystemOfMaryland.RevBonds.1999B.AON/best_bids.html,Bond,1.0,,,,,,
98,1999,https://www.pfmauction.com/pma/results/UnivSystemOfMaryland.RevBonds.1999B.AON/best_bids.html,Bond,,1.0,,,,,
99,1999,https://www.muniauction.com/pma/results/Shakopee.PubUtilComm.URB.99.AON/bid_summary.html,Bond,,1.0,,,,,
100,1999,https://www.muniauction.com/pma/results/Miami-Dade.County.GOs.99.AON/bid_summary.html,Bond,,1.0,,,,,
101,1999,https://www.pfmauction.com/pma/results/MiltonAreaSD.Series1999.AON/best_bids.html,Bond,1.0,,,,,,
102,1999,https://www.pfmauction.com/pma/results/MiltonAreaSD.Series1999.AON/best_bids.html,Bond,,1.0,,,,,
103,1999,https://www.pfmauction.com/pma/results/Austin.TX.PubImproveBonds.Series1999.AON/bid_summary.html,Bond,,1.0,,,,,
104,1999,https://www.pfmauction.com/pma/results/HillsboroughCounty.Series1999.AON/best_bids.html,Bond,1.0,,,,,,
105,1999,https://www.pfmauction.com/pma/results/HillsboroughCounty.Series1999.AON/best_bids.html,Bond,,1.0,,,,,
106,1999,https://www.muniauction.com/pma/results/SanFrancisco.TaxAllocRevRefBonds.1999B.AON/best_bids.html,Bond,1.0,,,,,,
107,1999,https://www.muniauction.com/pma/results/SanFrancisco.TaxAllocRevRefBonds.1999B.AON/best_bids.html,Bond,,1.0,,,,,
108,1999,https://www.speerauction.com/pma/results/ForestPreserveDistrictKaneCO.Series1999.AON/bid_summary.html,Bond,,1.0,,,,,
109,1999,https://www.muniauction.com/pma/results/WashingtonState.GOs.1999S2.AON/best_bids.html,Bond,1.0,,,,,,
110,1999,https://www.muniauction.com/pma/results/WashingtonState.GOs.1999S2.AON/best_bids.html,Bond,,1.0,,,,,
111,1999,https://www.muniauction.com/pma/results/DouglasCounty.SolidWasteDisposalBonds.AON/bid_summary.html,Bond,,1.0,,,,,
112,1999,https://www.pfmauction.com/pma/results/FranklinRegionalSD.Series1999.AON/best_bids.html,Bond,1.0,,,,,,
113,1999,https://www.pfmauction.com/pma/results/FranklinRegionalSD.Series1999.AON/best_bids.html,Bond,,1.0,,,,,
114,1999,https://www.muniauction.com/pma/results/Milwaukee.RANs.1999B/bid_summary.html,Note,,,1.0,,,,
115,1999,https://www.muniauction.com/pma/results/Milwaukee.RANs.1999B/bid_summary.html,Note,,,,1.0,,,
116,1999,https://www.muniauction.com/pma/results/Michigan.StateBldgAuth.1999IRevBonds.AON/best_bids.html,Bond,1.0,,,,,,
117,1999,https://www.muniauction.com/pma/results/Michigan.StateBldgAuth.1999IRevBonds.AON/best_bids.html,Bond,,1.0,,,,,
118,1999,https://www.speerauction.com/pma/results/DownersGroveParkDistrict.99B.AON/bid_summary.html,Bond,,1.0,,,,,
119,1999,https://www.pfmauction.com/pma/results/LancasterSD.Series1999.AON/best_bids.html,Bond,1.0,,,,,,
120,1999,https://www.pfmauction.com/pma/results/LancasterSD.Series1999.AON/best_bids.html,Bond,,1.0,,,,,
121,1999,https://www.pfmauction.com/pma/results/LigonierValleySD.SeriesB1999.MBM/best_bids.html,Bond,1.0,,,,,,
122,1999,https://www.pfmauction.com/pma/results/LigonierValleySD.SeriesB1999.MBM/best_bids.html,Bond,,1.0,,,,,
123,1999,https://www.pfmauction.com/pma/results/ColonialSD.GOs.00.AON/bid_summary.html,Bond,,1.0,,,,,
124,1999,https://www.muniauction.com/pma/results/CorvallisCity.OR.GOBonds.1999A.AON/best_bids.html,Bond,1.0,,,,,,
125,1999,https://www.muniauction.com/pma/results/CorvallisCity.OR.GOBonds.1999A.AON/best_bids.html,Bond,,1.0,,,,,
126,1999,https://www.muniauction.com/pma/results/MoonTownship.PA.GOs.AON/bid_summary.html,Bond,,1.0,,,,,
127,1999,https://www.pfmauction.com/pma/results/EastPennsboroASD.GOs.Series1999.AON/bid_summary.html,Bond,,1.0,,,,,
128,1999,https://www.speerauction.com/pma/results/WaukeganPD.Series99.AON/bid_summary.html,Bond,,,,,1.0,,
129,1999,https://www.speerauction.com/pma/results/WaukeganPD.Series99.AON/bid_summary.html,Bond,,1.0,,,,,
130,1999,https://www.muniauction.com/pma/results/DouglasCnty.NV.GOs.Series1999.AON/best_bids.html,Bond,1.0,,,,,,
131,1999,https://www.muniauction.com/pma/results/DouglasCnty.NV.GOs.Series1999.AON/best_bids.html,Bond,,1.0,,,,,
132,1999,https://www.muniauction.com/pma/results/Michigan.CleanMichInitPrgm.GOs.99A.AON/bid_summary.html,Bond,,1.0,,,,,
133,1999,https://www.muniauction.com/pma/results/SC.MetroWater.WaterRev.99A.AON/bid_summary.html,Bond,,1.0,,,,,
134,1999,https://www.pfmauction.com/pma/results/CheltenhamSD.Series1999.AON/best_bids.html,Bond,1.0,,,,,,
135,1999,https://www.pfmauction.com/pma/results/CheltenhamSD.Series1999.AON/best_bids.html,Bond,,1.0,,,,,
136,1999,https://www.muniauction.com/pma/results/Michigan.CleanMichInitPrgm.GOs.99B.AON/bid_summary.html,Bond,,1.0,,,,,
137,1999,https://www.muniauction.com/pma/results/Portland.LtdTaxRevBonds.1999A.AON/best_bids.html,Bond,1.0,,,,,,
138,1999,https://www.muniauction.com/pma/results/Portland.LtdTaxRevBonds.1999A.AON/best_bids.html,Bond,,1.0,,,,,
139,2010,https://www.bidumbaugh.com/pma/results/Carnegie.PL.of.SteubenCo.GOFB.10.AON/bid_summary.html,Bond,,,,,,1.0,
140,2003,https://www.bidumbaugh.com/pma/results/Evansville.IN.PD.03.AON/bid_summary.html,Bond,,,,,,1.0,
141,2003,https://www.pfmauction.com/pma/results/WeatherlyASD.03.AON/bid_summary.html,Bond,,1.0,,,,,
142,2003,https://www.muniauction.com/pma/results/Peters.Twp.03.AON/bid_summary.html,Bond,,1.0,,,,,
143,2003,https://www.pfmauction.com/pma/results/Monroeville.GO.03A/bid_summary.html,Bond,,1.0,,,,,
144,2003,https://www.pfmauction.com/pma/results/Penbrook.Boro.03.AON/bid_summary.html,Bond,,1.0,,,,,
145,2003,https://www.pfmauction.com/pma/results/NorthamptonASD.03.AON/bid_summary.html,Bond,,1.0,,,,,
146,2003,https://www.muniauction.com/pma/results/Springettsbury.Twp.GOs.03/bid_summary.html,Bond,,1.0,,,,,
147,2003,https://www.pfmauction.com/pma/results/C.DauphinSD.GO.03/bid_summary.html,Bond,,1.0,,,,,
148,2003,https://www.knnauction.com/pma/results/Alameda.and.Contra.Costa.Cnty.BOE.TRANs.03.AON/bid_summary.html,Note,,1.0,,,,,
149,2003,https://www.muniauction.com/pma/results/Pleasant.ValleySD.03A.AON/bid_summary.html,Bond,,1.0,,,,,
150,2003,https://www.pfmauction.com/pma/results/IndianaASD.GO.03/bid_summary.html,Bond,,1.0,,,,,
151,2003,https://www.muniauction.com/pma/results/Anderson.IN.ElecRev.03/bid_summary.html,Bond,,1.0,,,,,
152,2003,https://www.pfmauction.com/pma/results/Council.RockSD.03A.AON/bid_summary.html,Bond,,1.0,,,,,
153,2003,https://www.speerauction.com/pma/results/Loves.Park.IL.03.AON/bid_summary.html,Bond,,1.0,,,,,
154,2003,https://www.pfmauction.com/pma/results/Cape.May.Cnty.NJ.03.Rev.AON/bid_summary.html,Bond,,1.0,,,,,
155,2003,https://www.pfmauction.com/pma/results/Grove.CityASD.GO.03/bid_summary.html,Bond,,1.0,,,,,
156,2003,https://www.muniauction.com/pma/results/Central.BucksSD.03.AON/bid_summary.html,Bond,,1.0,,,,,
157,2003,https://www.muniauction.com/pma/results/Fort.Lauderdale.RBs.03/bid_summary.html,Bond,,1.0,,,,,
158,2003,https://www.pfmauction.com/pma/results/RidgwayASD.03.AON/bid_summary.html,Bond,,1.0,,,,,
159,2003,https://www.muniauction.com/pma/results/Southern.FultonSD.03.AON/bid_summary.html,Bond,,1.0,,,,,
160,2003,https://www.muniauction.com/pma/results/Patton.Twp.GOs.03/bid_summary.html,Bond,,1.0,,,,,
161,2003,https://www.pfmauction.com/pma/results/West.ChesterASD.GO.03AA/bid_summary.html,Bond,,1.0,,,,,
162,2003,https://www.pfmauction.com/pma/results/Chestnuthill.Twp.03.AON/bid_summary.html,Bond,,1.0,,,,,
163,2003,https://www.pfmauction.com/pma/results/Milton.ASD.GO.03/bid_summary.html,Bond,,1.0,,,,,
164,2003,https://www.pfmauction.com/pma/results/Altoona.03.A.B/bid_summary.html,Bond,,1.0,,,,,
165,2003,https://www.muniauction.com/pma/results/River.Forest.IL.03B.AON/bid_summary.html,Bond,,1.0,,,,,
166,2003,https://www.muniauction.com/pma/results/S.Middleton.Twp.MA.Rev.03/bid_summary.html,Bond,,1.0,,,,,
167,2003,https://www.pfmauction.com/pma/results/LineMountainSD.GO.03/bid_summary.html,Bond,,1.0,,,,,
168,2003,https://www.pfmauction.com/pma/results/Union.ASD.PA.GO.03/bid_summary.html,Bond,,1.0,,,,,
169,2003,https://www.pfmauction.com/pma/results/Steelton.HighspireSD.03.AON/bid_summary.html,Bond,,1.0,,,,,
170,2003,https://www.pfmauction.com/pma/results/Dillsburg.AA.Rev.03/bid_summary.html,Bond,,1.0,,,,,
171,2003,https://www.muniauction.com/pma/results/Northampton.BMA.PA.03.AON/bid_summary.html,Bond,,1.0,,,,,
172,2003,https://www.muniauction.com/pma/results/Ft.Wayne.IN.RBs.03.AON/bid_summary.html,Bond,,1.0,,,,,
173,2004,https://www.knnauction.com/pma/results/San.Jose.USD.04.TRAN.AON/bid_summary.html,Note,,,,,,,1.0
174,2003,https://www.pfmauction.com/pma/results/Cheltenham.TwpSD.03.AON/bid_summary.html,Bond,,1.0,,,,,
175,2003,https://www.pfmauction.com/pma/results/WilliamsportASD.GO.03/bid_summary.html,Bond,,1.0,,,,,
176,2003,https://www.pfmauction.com/pma/results/West.ChesterASD.03A.AON/bid_summary.html,Bond,,1.0,,,,,
177,2003,https://www.muniauction.com/pma/results/Pittsburgh.GOs.03A.AON/bid_summary.html,Bond,,1.0,,,,,
178,2003,https://www.muniauction.com/pma/results/Lancaster.GO.03/bid_summary.html,Bond,,1.0,,,,,
179,2004,https://www.muniauction.com/pma/results/New.Haven.GO.BANs.04/bid_summary.html,Note,,,,,,,1.0
180,2003,https://www.muniauction.com/pma/results/Whitehall.Twp.03.AON/bid_summary.html,Bond,,1.0,,,,,
181,2000,https://www.davidsonbondauction.com/pma/results/Lexington-Fayette.UCG.GO.00E.AON/bid_summary.html,Bond,,,,,,1.0,
182,2003,https://www.muniauction.com/pma/results/DuBoisASD.03.AON/bid_summary.html,Bond,,1.0,,,,,
183,2003,https://www.pfmauction.com/pma/results/PhoenixvilleASD.GO.03A/bid_summary.html,Bond,,1.0,,,,,
184,2003,https://www.pfmauction.com/pma/results/N.YorkCnty.SD.GO.03A/bid_summary.html,Bond,,1.0,,,,,
185,2003,https://www.pfmauction.com/pma/results/York.Twp.Wtr.Swr.Auth.03.AON/bid_summary.html,Bond,,1.0,,,,,
186,2003,https://www.pfmauction.com/pma/results/Warren.CntySD.03.AON/bid_summary.html,Bond,,1.0,,,,,
187,2003,https://www.muniauction.com/pma/results/BlackhawkASD.PA.GO.03/bid_summary.html,Bond,,1.0,,,,,
188,2003,https://www.muniauction.com/pma/results/Alaska.MBB.03A.AON/bid_summary.html,Bond,,1.0,,,,,
189,2003,https://www.pfmauction.com/pma/results/Hillsborough.Cnty.FL.03/bid_summary.html,Bond,,1.0,,,,,
190,2002,https://www.davidsonbondauction.com/pma/results/Winchester.RBs.02.AON/bid_summary.html,Bond,,,,,,1.0,
191,2001,https://www.bairdauction.com/pma/results/Moraine.Park.tech.Coll.Dist.01H.AON/bid_summary.html,Bond,,,,,,1.0,
192,2003,https://www.bairdauction.com/pma/results/Grafton.GO.Notes.AON/bid_summary.html,Bond,,,,,,1.0,
193,2003,https://www.muniauction.com/pma/results/U.Montgomery.JA.Rev.03/bid_summary.html,Bond,,1.0,,,,,
194,2003,https://www.pfmauction.com/pma/results/CheltenhamSD.2nd.03.AON/bid_summary.html,Bond,,1.0,,,,,
195,2003,https://www.muniauction.com/pma/results/Denver.GOs.03A.AON/bid_summary.html,Bond,,1.0,,,,,
196,2003,https://www.pfmauction.com/pma/results/Pocono.MountainSD.03/bid_summary.html,Bond,,1.0,,,,,
197,2003,https://www.aicauction.com/pma/results/Lincoln.NE.Swr.RBs.03.AON/bid_summary.html,Bond,,1.0,,,,,
198,2002,https://www.davidsonbondauction.com/pma/results/Hopkinsville.RRBs.02.AON/bid_summary.html,Bond,,,,,,1.0,
199,2003,https://www.knnauction.com/pma/results/03.TRAN.Pool.1/bid_summary.html,Note,,1.0,,,,,
200,2003,https://www.pfmauction.com/pma/results/S.MiddletonSD.03.AON/bid_summary.html,Bond,,1.0,,,,,
201,2003,https://www.pfmauction.com/pma/results/CouncilRockSD.GO.03/bid_summary.html,Bond,,1.0,,,,,
202,2003,https://www.pfmauction.com/pma/results/LakeviewSD.GO.03/bid_summary.html,Bond,,1.0,,,,,
203,2003,https://www.muniauction.com/pma/results/Harper.College.IL.03B.AON/bid_summary.html,Bond,,1.0,,,,,
204,2003,https://www.muniauction.com/pma/results/Central.BucksSD.03A.AON/bid_summary.html,Bond,,1.0,,,,,
205,2003,https://www.pfmauction.com/pma/results/Mifflin.CntySD.03.AON/bid_summary.html,Bond,,1.0,,,,,
206,2003,https://www.muniauction.com/pma/results/Alaska.MBB.03C.AON/bid_summary.html,Bond,,1.0,,,,,
207,2003,https://www.muniauction.com/pma/results/Anderson.PD.IN.03.AON/bid_summary.html,Bond,,1.0,,,,,
208,2003,https://www.speerauction.com/pma/results/Des.Plaines.IL.GO.03C.AON/bid_summary.html,Bond,,1.0,,,,,
209,2003,https://www.muniauction.com/pma/results/Upper.Gwynedd.Twp.03/bid_summary.html,Bond,,1.0,,,,,
210,2003,https://www.muniauction.com/pma/results/Mammoth.Lakes.COPs.03.AON/bid_summary.html,Bond,,1.0,,,,,
211,2003,https://www.pfmauction.com/pma/results/ClearfieldASD.03AB.AON/bid_summary.html,Bond,,1.0,,,,,
212,2003,https://www.pfmauction.com/pma/results/Oswayo.Vly.GO.03.AON/bid_summary.html,Bond,,1.0,,,,,
213,2003,https://www.pfmauction.com/pma/results/Baldwin.WhitehallSD.03.AON/bid_summary.html,Bond,,1.0,,,,,
214,2003,https://www.muniauction.com/pma/results/Mt.Lebanon.GO.03A/bid_summary.html,Bond,,1.0,,,,,
215,2003,https://www.pfmauction.com/pma/results/WestPerrySD.GO.03A.AA/bid_summary.html,Bond,,1.0,,,,,
216,2003,https://www.speerauction.com/pma/results/Orland.Park.GO.03/bid_summary.html,Bond,,1.0,,,,,
217,2003,https://www.pfmauction.com/pma/results/Wallingford.SwarthmoreSD.GO.03/bid_summary.html,Bond,,1.0,,,,,
218,2003,https://www.muniauction.com/pma/results/San.Diego.COPs.03.AON/bid_summary.html,Bond,,1.0,,,,,
219,2001,https://www.davidsonbondauction.com/pma/results/ToddCntySD.Fin.Corp.RB.01.AON/bid_summary.html,Bond,,,,,,1.0,
220,2003,https://www.pfmauction.com/pma/results/Monroeville.PA.GO.03/bid_summary.html,Bond,,1.0,,,,,
221,2002,https://www.bidumbaugh.com/pma/results/Pike.Twp.MSBC.IN.02.AON/bid_summary.html,Bond,,,,,,1.0,
