,year,url,type,Connection Faild,"Could not get first item for //a[contains(text(), ""Selections"")]//@href query of class XpathSelector INFO","Could not get first item for //input[@value=""View Terms""]/@onclick query of class XpathSelector INFO","Could not get first item for //table[@cellpadding=""1""][1] query of class XpathSelector INFO"
15,2005,https://www.bidumbaugh.com/pma/results/Carmel.SBC.FM.05.AON/bid_summary.html,Bond,1.0,,,
16,2011,https://www.bidumbaugh.com/pma/results/Crown.Point.CPL.GOB.11.AON/bid_summary.html,Bond,1.0,,,
17,2005,https://www.davidsonbondauction.com/pma/results/Auraria.HEC.CoP.05.AON/bid_summary.html,Bond,1.0,,,
18,2005,https://www.bidumbaugh.com/pma/results/Lebanon.Cty.SWD.05.AON/bid_summary.html,Bond,1.0,,,
19,2007,https://www.bidumbaugh.com/pma/results/Lawrence.Twp.SBC.FM.07.AON/bid_summary.html,Bond,1.0,,,
20,2000,https://www.muniauction.com/pma/results/Milwaukee.RANs.2000A/bid_summary.html,Note,,1.0,,
21,2000,https://www.muniauction.com/pma/results/Milwaukee.GO.2000.R.AON/bid_summary.html,Bond,,1.0,,
22,2000,https://www.muniauction.com/pma/results/Milwaukee.GO.ShortTermPromNotes.Series.A0/bid_summary.html,Note,,1.0,,
23,2000,https://www.muniauction.com/pma/results/Milwaukee.ShortTerm.RANs.2000B/bid_summary.html,Note,,1.0,,
24,2000,https://www.muniauction.com/pma/results/Milwaukee.GO.2000.C0.AON/bid_summary.html,Note,,1.0,,
25,2010,https://www.bidumbaugh.com/pma/results/CarmelRDA.COITLRRB.10.AON/bid_summary.html,Bond,1.0,,,
26,2001,https://www.bairdauction.com/pma/results/Appleton.WI.2001A.Notes.AON/bid_summary.html,Bond,1.0,,,
27,1999,http://www.pfmauction.com/cgi-bin/bond.pl?print_pre_selections_page_button=Selections+Page&uniqueid=94207880023922,Bond,,,1.0,
28,1999,http://www.pfmauction.com/cgi-bin/bond.pl?print_pre_selections_page_button=Selections+Page&uniqueid=N5SblMZWEwQAAEvwJxM,Bond,,,1.0,
29,1999,http://www.pfmauction.com/cgi-bin/bond.pl?print_pre_selections_page_button=Selections+Page&uniqueid=N@j948ZWEwYAAFt8SNw,Bond,,,1.0,
30,1999,http://www.speerauction.com/cgi-bin/bond.pl?print_pre_selections_page_button=Selections+Page&uniqueid=944150659676,Bond,,,1.0,
31,1999,http://www.speerauction.com/cgi-bin/bond.pl?print_pre_selections_page_button=Selections+Page&uniqueid=N2@rsMZWEwQAABv98oM,Bond,,,1.0,
32,1999,http://www.pfmauction.com/cgi-bin/bond.pl?print_pre_selections_page_button=Selections+Page&uniqueid=N0BlCcZWEwQAAFC5Y44,Bond,,,1.0,
33,1999,http://www.speerauction.com/cgi-bin/bond.pl?print_pre_selections_page_button=Selections+Page&uniqueid=N4tNj8ZWEwQAABycHDg,Bond,,,1.0,
34,1999,http://www.pfmauction.com/cgi-bin/bond.pl?print_pre_selections_page_button=Selections+Page&uniqueid=N9fqU8ZWEwYAACLCkAY,Bond,,,1.0,
35,1999,http://www.speerauction.com/cgi-bin/bond.pl?print_pre_selections_page_button=Selections+Page&uniqueid=94173616821650,Bond,,,1.0,
36,1999,http://www.speerauction.com/cgi-bin/bond.pl?print_pre_selections_page_button=Selections+Page&uniqueid=94173615223852,Bond,,,1.0,
37,1999,http://www.pfmauction.com/cgi-bin/bond.pl?print_pre_selections_page_button=Selections+Page&uniqueid=,Bond,,,1.0,
38,1999,http://www.pfmauction.com/cgi-bin/bond.pl?print_pre_selections_page_button=Selections+Page&uniqueid=,Bond,,,1.0,
39,1999,http://www.speerauction.com/cgi-bin/bond.pl?print_pre_selections_page_button=Selections+Page&uniqueid=,Bond,,,1.0,
40,1999,http://www.pfmauction.com/cgi-bin/bond.pl?print_pre_selections_page_button=Selections+Page&uniqueid=N3pQHcZWEwQAAF5hmDo,Bond,,,1.0,
41,1999,http://www.pfmauction.com/cgi-bin/bond.pl?print_pre_selections_page_button=Selections+Page&uniqueid=9411300559846,Bond,,,1.0,
42,1999,http://www.pfmauction.com/cgi-bin/bond.pl?print_pre_selections_page_button=Selections+Page&uniqueid=N3epOcZWEwQAAAKmWJs,Bond,,,1.0,
43,1999,http://www.speerauction.com/cgi-bin/bond.pl?print_pre_selections_page_button=Selections+Page&uniqueid=N0QmcsZWEwQAAFAwbqM,Bond,,,1.0,
44,1999,http://www.pfmauction.com/cgi-bin/bond.pl?print_pre_selections_page_button=Selections+Page&uniqueid=N8P-4sZWEwYAADlmY3A,Bond,,,1.0,
45,1999,http://www.pfmauction.com/cgi-bin/bond.pl?print_pre_selections_page_button=Selections+Page&uniqueid=NxTU18ZWEwQAAHs@4nE,Bond,,,1.0,
46,1999,http://www.pfmauction.com/cgi-bin/bond.pl?print_pre_selections_page_button=Selections+Page&uniqueid=N0GTtsZWEwQAAHtU2EY,Bond,,,1.0,
47,2001,https://www.bairdauction.com/pma/results/MadisonArea.TCD.GO.Notes.01A.AON/bid_summary.html,Bond,1.0,,,
48,2001,https://www.bairdauction.com/pma/results/Waukesha.WI.Notes.01B.AON/bid_summary.html,Bond,1.0,,,
49,1999,http://www.pfmauction.com/cgi-bin/bond.pl?print_pre_selections_page_button=Selections+Page&uniqueid=94397946720612,Bond,,,1.0,
50,1999,http://www.pfmauction.com/cgi-bin/bond.pl?print_pre_selections_page_button=Selections+Page&uniqueid=94095187219394,Bond,,,1.0,
51,1999,http://www.pfmauction.com/cgi-bin/bond.pl?print_pre_selections_page_button=Selections+Page&uniqueid=NxNxKMZWEwQAABKnolM,Bond,,,1.0,
52,1999,http://www.pfmauction.com/cgi-bin/bond.pl?print_pre_selections_page_button=Selections+Page&uniqueid=N9fj1sZWEwYAAB75@yY,Bond,,,1.0,
53,1999,http://www.pfmauction.com/cgi-bin/bond.pl?print_pre_selections_page_button=Selections+Page&uniqueid=N0A6h8ZWEwQAAEA7WJQ,Bond,,,1.0,
54,1999,http://www.speerauction.com/cgi-bin/bond.pl?print_pre_selections_page_button=Selections+Page&uniqueid=N103HMZWEwQAAHvJ-@Y,Bond,,,1.0,
55,1999,http://www.pfmauction.com/cgi-bin/bond.pl?print_pre_selections_page_button=Selections+Page&uniqueid=N-y-asZWEwYAAHSekAs,Bond,,,1.0,
56,1999,http://www.pfmauction.com/cgi-bin/bond.pl?print_pre_selections_page_button=Selections+Page&uniqueid=N5eEFsZWEwQAAEmfEUI,Note,,,1.0,
57,1999,http://www.speerauction.com/cgi-bin/bond.pl?print_pre_selections_page_button=Selections+Page&uniqueid=944150677676,Bond,,,1.0,
58,1999,http://www.pfmauction.com/cgi-bin/bond.pl?print_pre_selections_page_button=Selections+Page&uniqueid=N0BR78ZWEwQAAEnXLjs,Bond,,,1.0,
59,1999,http://www.pfmauction.com/cgi-bin/bond.pl?print_pre_selections_page_button=Selections+Page&uniqueid=94285675028859,Bond,,,1.0,
60,1999,http://www.pfmauction.com/cgi-bin/bond.pl?print_pre_selections_page_button=Selections+Page&uniqueid=N9kFf8ZWEwYAAFy-In4,Bond,,,1.0,
61,1999,http://www.pfmauction.com/cgi-bin/bond.pl?print_pre_selections_page_button=Selections+Page&uniqueid=N7xx2MZWEwYAADHrY@Y,Bond,,,1.0,
62,2002,http://www.muniauction.comhttp://www.muniauction.com/perl/bond.pl?view_terms_button=ViewTerms&auction_name=San%2EFranUSD%2E02%2ETRAN,Note,1.0,,,
63,2009,https://www.bidumbaugh.com/pma/results/Hancock.Cnty.RDBs.09.AON/bid_summary.html,Bond,1.0,,,
64,2002,https://www.bairdauction.com/pma/results/Manitowoc.WI.GO.Bonds.02A.AON/bid_summary.html,Bond,1.0,,,
65,2005,https://www.bidumbaugh.com/pma/results/Bargersville.Twn.WR.05.AON/bid_summary.html,Bond,1.0,,,
66,2002,http://www.muniauction.comhttp://www.muniauction.com/perl/bond.pl?view_terms_button=ViewTerms&auction_name=Miami%2EDade%2ECnty%2EGOs%2E02%2EAON,Bond,1.0,,,
67,2001,http://www.pfmauction.com/perl/bond.pl?print_selections_page_button=Selections+Page&use_auction_name=yes&auction_name=Mechanicsburg%2EASD%2EGO%2E01%2EAON&uniqueid=OolvRcZPGcgAAB4BaAo,Bond,,,1.0,
68,2001,http://www.pfmauction.com/perl/bond.pl?print_selections_page_button=Selections+Page&use_auction_name=yes&auction_name=North%2EBrevard%2EFL%2ELTB%2E01%2EAON&uniqueid=OwvYBMZPGcgAADIbtYA,Bond,,,1.0,
69,2001,http://www.pfmauction.com/perl/bond.pl?print_selections_page_button=Selections+Page&use_auction_name=yes&auction_name=Boise%2ECity%2EID%2ERev%2ERef%2E01A%2EAON&uniqueid=PBY1HMZPGcgAAB5qhsU,Bond,,,1.0,
70,2000,http://www.pfmauction.com/perl/bond.pl?print_pre_selections_page_button=Selections+Page&uniqueid=OaP1jNGmv1cAAAR1SZ4,Bond,,,1.0,
71,2001,http://www.pfmauction.com/perl/bond.pl?print_selections_page_button=Selections+Page&use_auction_name=yes&auction_name=LittlestownASD%2EGO%2EAA%2E01%2EAON&uniqueid=OowEOcZPGcgAAAYbHtI,Bond,,,1.0,
72,2001,http://www.columbiacapitalauction.com/perl/bond.pl?print_selections_page_button=Selections+Page&use_auction_name=yes&auction_name=Topeka%2EKS%2ERBs%2E01A%2EAON&uniqueid=PBZm38ZPGcgAAHZsCOA,Bond,,,1.0,
73,2001,http://www.nsiauction.com/perl/bond.pl?print_selections_page_button=Selections+Page&use_auction_name=yes&auction_name=Fairmont%2EMN%2E01A%2EAON&uniqueid=O9RD68ZPGcgAAH2kYZg,Bond,,,1.0,
74,2000,http://www.pfmauction.com/cgi-bin/bond.pl?print_pre_selections_page_button=Selections+Page&uniqueid=9487350766011,Bond,,,1.0,
75,2000,http://www.pfmauction.com/perl/bond.pl?print_selections_page_button=Selections+Page&use_auction_name=yes&auction_name=E%2EStroudsburg%2EASD%2EGOs%2E01%2EAON&uniqueid=Oj4@X8ZPGcgAAExFBXA,Bond,,,1.0,
76,2001,http://www.nsiauction.com/perl/bond.pl?print_selections_page_button=Selections+Page&use_auction_name=yes&auction_name=Fargo%2END%2ERef%2E01B%2EAON&uniqueid=PBTxMMZPGcgAAFPkD5w,Bond,,,1.0,
77,2003,http://www.pfmauction.comhttp://www.pfmauction.com/perl/bond.pl?view_terms_button=ViewTerms&auction_name=Chestnuthill%2ETwp%2E03%2EAON,Bond,1.0,,,
78,2001,http://www.speerauction.com/perl/bond.pl?print_selections_page_button=Selections+Page&use_auction_name=yes&auction_name=Peoria%2EIL%2E01C%2EGOs%2EAON&uniqueid=O12GosZPGcgAAAZ3JGc,Bond,,,1.0,
79,2001,http://www.columbiacapitalauction.com/perl/bond.pl?print_selections_page_button=Selections+Page&use_auction_name=yes&auction_name=Topeka%2EGO%2E01B%2EAON&uniqueid=O1RhQ8ZPGcgAAFQI0U8,Bond,,,1.0,
80,2000,http://www.pfmauction.com/perl/bond.pl?print_pre_selections_page_button=Selections+Page&uniqueid=95909667118145,Bond,,,1.0,
81,2001,https://www.bairdauction.com/pma/results/SuperiorSD.WI.GOs.01.AON/bid_summary.html,Bond,1.0,,,
82,2002,https://www.davidsonbondauction.com/pma/results/Bernalillo.Co.NM.02.TRANs.AON/bid_summary.html,Note,1.0,,,
83,2000,http://www.pfmauction.com/perl/bond.pl?print_pre_selections_page_button=Selections+Page&uniqueid=OZliSNGmv1cAAFwR0LU,Bond,,,1.0,
84,2000,http://www.pfmauction.com/cgi-bin/bond.pl?print_pre_selections_page_button=Selections+Page&uniqueid=9487321604892,Bond,,,1.0,
85,2001,http://www.pfmauction.com/perl/bond.pl?print_selections_page_button=Selections+Page&use_auction_name=yes&auction_name=FranklinReg%2ERfnd%2EGOs%2E01%2EAON&uniqueid=On7WWMZPGcgAAH0BgVo,Bond,,,1.0,
86,2001,http://www.speerauction.com/perl/bond.pl?print_selections_page_button=Selections+Page&use_auction_name=yes&auction_name=Des%2EPlaines%2EGOs%2ETax%2E01C%2EAON&uniqueid=PAueGcZPGcgAACW0N7Q,Bond,,,1.0,
87,2001,http://www.pfmauction.com/perl/bond.pl?print_selections_page_button=Selections+Page&use_auction_name=yes&auction_name=PoconoMountainSD%2EGOs%2E02%2EAON&uniqueid=PCDAyUKzEEgAAHDyRH8,Bond,,,1.0,
88,2000,http://www.pfmauction.com/perl/bond.pl?print_pre_selections_page_button=Selections+Page&uniqueid=9633294766163,Note,,,1.0,
89,2001,http://www.pfmauction.com/perl/bond.pl?print_selections_page_button=Selections+Page&use_auction_name=yes&auction_name=MinersvilleASD%2EGOs%2E01%2EAON&uniqueid=OtHcocZPGcgAACRx43g,Bond,,,1.0,
90,2001,http://www.pfmauction.com/perl/bond.pl?print_selections_page_button=Selections+Page&use_auction_name=yes&auction_name=Austin%2ERev%2ERfnd%2EBds%2E01%2EAON&uniqueid=OmchbMZPGcgAADiJox8,Bond,,,1.0,
91,2000,http://www.pfmauction.com/perl/bond.pl?print_pre_selections_page_button=Selections+Page&uniqueid=OeM3TNGmv1cAAHupA6Y,Bond,,,1.0,
92,2002,https://www.bairdauction.com/pma/results/Walworth.Co.WI.GOs.02.AON/bid_summary.html,Bond,1.0,,,
93,2001,http://www.speerauction.com/perl/bond.pl?print_selections_page_button=Selections+Page&use_auction_name=yes&auction_name=NapervillePD%2EGOs%2E01%2EAON&uniqueid=OyjRh8ZPGcgAAAxCTWs,Bond,,,1.0,
94,2001,http://www.pfmauction.com/perl/bond.pl?print_selections_page_button=Selections+Page&use_auction_name=yes&auction_name=Northampton%2EASD%2EGOs%2E01%2EAON&uniqueid=OlnzIMZPGcgAAChBS@o,Bond,,,1.0,
95,2000,http://www.pfmauction.com/perl/bond.pl?print_pre_selections_page_button=Selections+Page&uniqueid=9553861462490,Bond,,,1.0,
96,2001,http://www.pfmauction.com/perl/bond.pl?print_selections_page_button=Selections+Page&use_auction_name=yes&auction_name=Line%2EMountainSD%2EGOs%2E01%2EAON&uniqueid=O4u5PcZPGcgAAHDAbl8,Bond,,,1.0,
97,2001,http://www.pfmauction.com/perl/bond.pl?print_selections_page_button=Selections+Page&use_auction_name=yes&auction_name=StateCollegeASD%2E01%2EGOs%2EAON&uniqueid=O0njxcZPGcgAACkLQ4I,Bond,,,1.0,
98,2001,http://www.speerauction.com/perl/bond.pl?print_selections_page_button=Selections+Page&use_auction_name=yes&auction_name=Oak%2EPark%2EWRBs%2E01%2EAON&uniqueid=O5TvDcZPGcgAAA382Nk,Bond,,,1.0,
99,2002,https://www.bairdauction.com/pma/results/Tomorrow.RiverSD.GOs.02.AON/bid_summary.html,Bond,1.0,,,
100,2002,https://www.bairdauction.com/pma/results/Manitowoc.WI.GO.Notes.02B.AON/bid_summary.html,Bond,1.0,,,
101,2000,https://www.dainrauscherauction.com/pma/results/FarmingtonMSD.No5.NM.GOs.AON/bid_summary.html,Bond,1.0,,,
102,2003,http://www.pfmauction.comhttp://www.pfmauction.com/perl/bond.pl?view_terms_button=ViewTerms&auction_name=ShikellamySD%2E03%2EAON,Bond,1.0,,,
103,2000,http://www.pfmauction.com/perl/bond.pl?print_pre_selections_page_button=Selections+Page&uniqueid=Oexws9Gmv1cAABRqCHY,Bond,,,1.0,
104,2001,http://www.pfmauction.com/perl/bond.pl?print_selections_page_button=Selections+Page&use_auction_name=yes&auction_name=Avon%2EGrove%2ESD%2EGOs%2E02%2EAON&uniqueid=O-lFWcZPGcgAAEZyWRI,Bond,,,1.0,
105,2001,http://www.speerauction.com/perl/bond.pl?print_selections_page_button=Selections+Page&use_auction_name=yes&auction_name=St%2ECharles%2EPk%2EDist%2EGOs%2E01%2EAON&uniqueid=O12NlMZPGcgAACCJrK0,Bond,,,1.0,
106,2001,http://www.pfmauction.com/perl/bond.pl?print_selections_page_button=Selections+Page&use_auction_name=yes&auction_name=Cheltenham%2ETwp%2ESD%2EGOs%2E01A%2EAON&uniqueid=O8MYHcZPGcgAAGu0wjs,Bond,,,1.0,
107,2000,http://www.knnauction.com/perl/bond.pl?print_pre_selections_page_button=Selections+Page&uniqueid=96394059616740,Bond,,,1.0,
108,2000,http://www.pfmauction.com/perl/bond.pl?print_pre_selections_page_button=Selections+Page&uniqueid=96091057780324,Bond,,,1.0,
109,2001,http://www.speerauction.com/perl/bond.pl?print_selections_page_button=Selections+Page&use_auction_name=yes&auction_name=Lisle%2EPD%2EGO%2ERefund%2E01%2EAON&uniqueid=O6d2bsZPGcgAAED4bfs,Bond,,,1.0,
110,2001,http://www.knnauction.com/perl/bond.pl?print_selections_page_button=Selections+Page&use_auction_name=yes&auction_name=01%2ETRAN%2EPool%2ENo%2E1&uniqueid=Ox@z7MZPGcgAAB84mPo,Note,,,1.0,
111,2001,http://www.speerauction.com/perl/bond.pl?print_selections_page_button=Selections+Page&use_auction_name=yes&auction_name=Mt%2EProspect%2EGO%2ELimited%2ETax%2E01%2EAON&uniqueid=O8Rr68ZPGcgAAAZZBVA,Bond,,,1.0,
112,2001,http://www.pfmauction.com/perl/bond.pl?print_selections_page_button=Selections+Page&use_auction_name=yes&auction_name=Southern%2EYork%2ECo%2ESD%2EGOs%2E01A%2EAON&uniqueid=O871icZPGcgAABaC9pw,Bond,,,1.0,
113,2001,http://www.pfmauction.com/perl/bond.pl?print_selections_page_button=Selections+Page&use_auction_name=yes&auction_name=SoudertonASD%2EGOs%2E01%2EAON&uniqueid=Oss@JMZPGcgAABODRQA,Bond,,,1.0,
114,2001,http://www.pfmauction.com/perl/bond.pl?print_selections_page_button=Selections+Page&use_auction_name=yes&auction_name=South%2EBrevard%2EFL%2ELTB%2E01%2EAON&uniqueid=OwvX@MZPGcgAADj4zzE,Bond,,,1.0,
115,2001,http://www.speerauction.com/perl/bond.pl?print_selections_page_button=Selections+Page&use_auction_name=yes&auction_name=Arlington%2EHeights%2ESD%2ENo%2E25%2EGOs%2E01%2EAON&uniqueid=Ow0iLsZPGcgAAAMYVHM,Bond,,,1.0,
116,2003,http://www.muniauction.comhttp://www.muniauction.com/perl/bond.pl?view_terms_button=ViewTerms&auction_name=S%2EFayetteTwpSD%2EABC%2EAON,Bond,1.0,,,
117,2001,http://www.pfmauction.com/perl/bond.pl?print_selections_page_button=Selections+Page&use_auction_name=yes&auction_name=Avon%2EGrove%2ESD%2EGOs%2E02A%2EAON&uniqueid=O-k3PMZPGcgAAB4HlBk,Bond,,,1.0,
118,2004,https://www.pdxauction.com/pma/results/Portland.GOPR.04B.AON/bid_summary.html,Bond,1.0,,,
119,2004,https://www.bidehlers.com/pma/results/Oconomowoc.Twn.GOPN.04.AON/bid_summary.html,Bond,1.0,,,
120,2008,https://www.bidumbaugh.com/pma/results/Greenfield.MSBC.FM.08.AON/bid_summary.html,Bond,1.0,,,
121,2009,https://www.bidumbaugh.com/pma/results/PorterCoPLS.GORB.09.AON/bid_summary.html,Bond,1.0,,,
122,2002,https://www.davidsonbondauction.com/pma/results/Univ.Colorado.RBs.02A.AON/bid_summary.html,Bond,1.0,,,
123,2003,https://www.bidumbaugh.com/pma/results/Lawrence.Twp.SBC.IN.03.AON/bid_summary.html,Bond,1.0,,,
124,2001,http://www.pfmauction.com/perl/bond.pl?print_selections_page_button=Selections+Page&use_auction_name=yes&auction_name=Baldwin%2EWhitehall%2EGOs%2E01A%2EAON&uniqueid=O8RnC8ZPGcgAAF9a4ME,Bond,,,1.0,
125,2001,http://www.speerauction.com/perl/bond.pl?print_selections_page_button=Selections+Page&use_auction_name=yes&auction_name=Oak%2EPark%2ERBs%2E01%2EAON&uniqueid=OrYtF8ZPGcgAAA02JCY,Bond,,,1.0,
126,2001,http://www.pfmauction.com/perl/bond.pl?print_selections_page_button=Selections+Page&use_auction_name=yes&auction_name=ConewagoValleySD%2EGOs%2E01A%2EAON&uniqueid=O3AJpsZPGcgAACghChw,Bond,,,1.0,
127,2001,http://www.pfmauction.com/perl/bond.pl?print_selections_page_button=Selections+Page&use_auction_name=yes&auction_name=WilmingtonASD%2EGO%2ERefund%2E01%2EAON&uniqueid=Oq0A0cZPGcgAACy5PfM,Bond,,,1.0,
128,2000,http://www.pfmauction.com/perl/bond.pl?print_pre_selections_page_button=Selections+Page&uniqueid=9622926794974,Bond,,,1.0,
129,2001,http://www.pfmauction.com/perl/bond.pl?print_selections_page_button=Selections+Page&use_auction_name=yes&auction_name=UniversityArea%2EJoint%2EAuth%2ERBs%2E01%2EAON&uniqueid=O1WsbsZPGcgAAFrleFU,Bond,,,1.0,
130,2001,http://www.pfmauction.com/perl/bond.pl?print_selections_page_button=Selections+Page&use_auction_name=yes&auction_name=Wallingford%2DSwarthmoreSD%2EGOs%2E01%2EAON&uniqueid=O2ggpMZPGcgAAHwIO3Y,Bond,,,1.0,
131,2001,http://www.pfmauction.com/perl/bond.pl?print_selections_page_button=Selections+Page&use_auction_name=yes&auction_name=Greenwood%2ESD%2EGO%2E01%2EAON&uniqueid=OowhHcZPGcgAAGr6GPE,Bond,,,1.0,
132,2001,http://www.pfmauction.com/perl/bond.pl?print_selections_page_button=Selections+Page&use_auction_name=yes&auction_name=Baldwin%2EWhitehall%2EGOs%2E01B%2EAON&uniqueid=O8Rw-sZPGcgAADpnKj4,Bond,,,1.0,
133,2001,http://www.pfmauction.com/perl/bond.pl?print_selections_page_button=Selections+Page&use_auction_name=yes&auction_name=EastPennSD%2EGOs%2E01AA%2EAON&uniqueid=O69cL8ZPGcgAAArXkdI,Bond,,,1.0,
134,2000,http://www.knnauction.com/perl/bond.pl?print_pre_selections_page_button=Selections+Page&uniqueid=9604818918818,Note,,,1.0,
135,2008,https://www.bidumbaugh.com/pma/results/East.Porter.CSBC.FM.08.AON/bid_summary.html,Bond,1.0,,,
136,2006,https://www.bidumbaugh.com/pma/results/Pike.Twp.MSBC.FM.06.AON/bid_summary.html,Bond,1.0,,,
137,2001,https://www.bairdauction.com/pma/results/Milwaukee.GO.Notes.01B.AON/bid_summary.html,Bond,1.0,,,
138,2003,http://www.pfmauction.comhttp://www.pfmauction.com/perl/bond.pl?view_terms_button=ViewTerms&auction_name=Mifflin%2ECntySD%2E03%2EAON,Bond,1.0,,,
139,2002,http://www.pfmauction.comhttp://www.pfmauction.com/perl/bond.pl?view_terms_button=View+Terms&auction_name=York%2ETwp%2E02%2EAON,Bond,1.0,,,
140,2002,https://www.bairdauction.com/pma/results/Berlin.WI.GOs.02.AON/bid_summary.html,Bond,1.0,,,
141,2002,http://www.pfmauction.comhttp://www.pfmauction.com/perl/bond.pl?view_terms_button=ViewTerms&auction_name=MethactonSD%2E03%2EAON,Bond,1.0,,,
142,2010,https://www.davidsonbondauction.com/pma/results/DouglasCoSD0017.GORB.10.AON/bid_summary.html,Bond,1.0,,,
143,2003,http://www.knnauction.comhttp://www.knnauction.com/perl/bond.pl?view_terms_button=ViewTerms&auction_name=03%2ETRAN%2EPool%2E3,Note,1.0,,,
144,2000,http://www.pfmauction.com/perl/bond.pl?print_pre_selections_page_button=Selections+Page&uniqueid=OhQE6MZPGcgAAETndB8,Bond,,,1.0,
145,2002,https://www.bairdauction.com/pma/results/Manitowoc.Co.Tax.Notes.AON/bid_summary.html,Note,1.0,,,
146,2003,https://www.bairdauction.com/pma/results/Onalaska.WI.GO.Bonds.03.AON/bid_summary.html,Bond,1.0,,,
147,2010,https://www.bidumbaugh.com/pma/results/Mishawaka.Cty.SWRB.10B.AON/bid_summary.html,Bond,1.0,,,
148,2003,https://www.bidumbaugh.com/pma/results/Lake.Cnty.IN.03.AON/bid_summary.html,Bond,1.0,,,
149,2004,https://www.davidsonbondauction.com/pma/results/Colorado.University.ESR.04.AON/bid_summary.html,Bond,1.0,,,
150,2004,https://www.bidumbaugh.com/pma/results/Clarksville.RA.EDITLR.04.AON/bid_summary.html,Bond,1.0,,,
151,2004,https://www.bidehlers.com/pma/results/St.Croix.Falls.WI.04.AON/bid_summary.html,Bond,1.0,,,
152,2003,http://www.muniauction.comhttp://www.muniauction.com/perl/bond.pl?view_terms_button=ViewTerms&auction_name=San%2EDiego%2E03A%2ETAN,Note,1.0,,,
153,2003,http://www.muniauction.comhttp://www.muniauction.com/perl/bond.pl?view_terms_button=ViewTerms&auction_name=Harper%2ECollege%2EIL%2E03B%2EAON,Bond,1.0,,,
154,2009,https://www.bidumbaugh.com/pma/results/Elkhart.PDB.09B.Taxable.AON/bid_summary.html,Bond,1.0,,,
155,2003,http://www.pfmauction.comhttp://www.pfmauction.com/perl/bond.pl?view_terms_button=ViewTerms&auction_name=PottsgroveSD%2EGO%2E03A,Bond,1.0,,,
156,2003,http://www.pfmauction.comhttp://www.pfmauction.com/perl/bond.pl?view_terms_button=ViewTerms&auction_name=Clarion%2ELimestoneASD%2E03%2EAON,Bond,1.0,,,
157,2002,https://www.davidsonbondauction.com/pma/results/Univ.CO.Tax-Exempt.RBs.02B.AON/bid_summary.html,Bond,1.0,,,
158,2001,http://www.pfmauction.com/perl/bond.pl?print_selections_page_button=Selections+Page&use_auction_name=yes&auction_name=Annville%2ECleonaSD%2EGOs%2E01%2EAON&uniqueid=O-FOI8ZPGcgAAAvlJjo,Bond,,,1.0,
159,2001,http://www.pfmauction.com/perl/bond.pl?print_selections_page_button=Selections+Page&use_auction_name=yes&auction_name=PottsgroveSD%2EGOs%2E01%2EA%2EAON&uniqueid=Oug-csZPGcgAAG1Zjr4,Bond,,,1.0,
160,2002,http://www.pfmauction.comhttp://www.pfmauction.com/perl/bond.pl?view_terms_button=ViewTerms&auction_name=Sellersville%2EBoro%2E03%2EAON,Bond,1.0,,,
161,2001,http://www.speerauction.com/perl/bond.pl?print_selections_page_button=Selections+Page&use_auction_name=yes&auction_name=Elkhart%2EComm%2ESchs%2E01%2EAON&uniqueid=Owp-JMZPGcgAAF8jDDc,Bond,,,1.0,
